Course name,Course link,Cover image,Institution,Verified,Start date,Self Paced,Video link,Short description,Course provider image,Enroll now link,About course,Overall rating,All reviews,Instructor name,instructor details,Instructor photo,Course price,length,Effort,Subject,Level,Video transcript,Languages 
Introduction to Brokerage Operations,https://www.edx.org/course/introduction-brokerage-operations-new-york-institute-finance-bopc-1x,Images/https://www.edx.org/sites/default/files/course/image/promoted/bopc.pc1_.1x.jpg,New York Institute of Finance,No,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/bopc.pc1_.1x.jpg?itok=_MBKDssN,Learn about brokerage operations; including the key roles and types of accounts within this field. ,Logo/https://www.edx.org/sites/default/files/school/image/logo/nyif-200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ANYIF%2BBOPC.1x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This course begins with an overview of brokerage operations where we’ll identify the key roles of brokerage operations and review the different types of accounts. 
We’ll look at the salient features of the Customer Identification Program and review the differences between the main types of securities issues. Before wrapping up this course, we’ll get familiarized with the key components of the Security Reference File and learn the key roles of the various players within the Financial Community.",0/5,0 Reviews,Stephen Zak,"Instructor
New York Institute of Finance",None,Missing,4 weeks,1-2 hours per week,Economics & Finance,Introductory,English,English
"The Marketplace, Trade Process, Clearing Corporations and Settlement",https://www.edx.org/course/marketplace-trade-process-clearing-new-york-institute-finance-bopc-2x,Images/https://www.edx.org/sites/default/files/course/image/promoted/bopc.pc1_.2x.jpg,New York Institute of Finance,No,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/bopc.pc1_.2x.jpg?itok=esqQlw_K,"Learn about the characteristics of the marketplace, how to process a trade, the role of clearing corporations, and get an overview of settlement, trade processing functions.",Logo/https://www.edx.org/sites/default/files/school/image/logo/nyif-200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ANYIF%2BBOPC.2x%2B3T2017&enrollment_action=enroll&email_opt_in=true,This course begins with an introduction to the marketplace. We'll learn about the characteristics of the marketplace and how it interacts with the operation process. We’ll look at the evolution of the U.S. equity market and learn how to identify the reasons why some trades take place in Over the Counter Markets instead of an exchange. We’ll also look at the functioning of an Order Management System and Bond Secondary Market trades.,0/5,0 Reviews,Stephen Zak,"Instructor
New York Institute of Finance",None,Missing,7 weeks,1-2 hours per week,Economics & Finance,Introductory,English,English
Brokerage Operations Professional Certificate Examination,https://www.edx.org/course/brokerage-operations-professional-new-york-institute-finance-bopc-4x,Images/https://www.edx.org/sites/default/files/course/image/promoted/bopc.pc1_.4x.jpg,New York Institute of Finance,No,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/bopc.pc1_.4x.jpg?itok=EMq51v7v,Complete the required exam to earn your professional certificate in Brokerage Operations from the New York Institute of Finance.,Logo/https://www.edx.org/sites/default/files/school/image/logo/nyif-200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ANYIF%2BBOPC.4x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Ready to earn a professional certificate and stand out in your field?
  If you’ve gained a clear, comprehensive understanding of brokerage operations, your next step is to complete the Brokerage Operations Professional Certificate Examination from the New York Institute of Finance.
Introduction to Brokerage Operations
The Marketplace, Trade Process, Clearing Corporations and Settlement
Introduction to Custody Servicing, Margins, and Accounting Records",0/5,0 Reviews,Missing,Missing,None,Missing,2 hours,Missing,Economics & Finance,Introductory,English,English
University Studies for Student Veterans,https://www.edx.org/course/university-studies-student-veterans-columbiax-ussv101x,Images/https://www.edx.org/sites/default/files/course/image/promoted/_ao73830.jpg,ColumbiaX,Yes,,Yes,Missing,"This course helps veterans transition smoothly from military service to college, and helps them maximize their success once they arrive.",Logo/https://www.edx.org/sites/default/files/school/image/logo/columbiau200x101.png,https://courses.edx.org/register?course_id=course-v1%3AColumbiaX%2BUSSV101x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"The skills you learned in the military will go a long way toward helping you succeed in college, but if you’re looking for some extra support – or an academic tune-up – then you’ll find it in this course. We know that the culture of higher education is different from the culture of the military in meaningful ways, and we also know that one of the keys to excelling in college - especially for student veterans - is learning to navigate these differences successfully, right from the very start.

This course aims to help you do just that. First, the course will orient you to the norms and expectations of the college classroom. The quicker you know what is expected of you, the quicker you can start learning. Second, the course will offer you strategies to ease your transition, to help you achieve your academic goals, and to allow you to make the most of your college education.

While this course is open to everyone, the content has been tailored specifically for student veterans currently pursuing higher education, active duty servicemembers who aspire to start school or return to school soon, and higher education professionals who work to support student veterans at their schools. If this sounds like you, and if you’re ready to learn how to make your transition easier and more successful, then we hope you’ll join us.

This online curriculum may be used in a variety of ways, including, but not limited to, as a start-to finish, self-directed online experience (MOOC). It can also, in its current format, serve as an “orientation” for other student veteran success programs. We also invite you to utilize this resource as a library/toolkit of academic success strategies, a tool for flipped classroom pedagogy, or a companion text for on-the-ground transition courses.

We welcome the opportunity to assist higher education institutions (both 2-year and 4-year), military installation education services officers and transition assistance programs, veteran focused non-profit organizations, and more. To get underway, contact us at the Columbia University Center for Veteran Transition and Integration.",0/5,0 Reviews,R.J. Jenkins,"Curriculum Designer
Columbia University",None,FREE,6 sections,3-4 hours per section,Education & Teacher Training,Introductory,English,English
Fundamentals of Microeconomics | Fundamentos de Microeconomía,https://www.edx.org/course/fundamentals-microeconomics-fundamentos-uc3mx-eco-1x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/eco1x_1_378x225.jpg,UC3Mx,Yes,,Yes,Missing,Learn how to analyze markets and gain a solid foundation in economic concepts. | Aprende cómo analizar un mercado y obtén una base sólida sobre los principales conceptos económicos.,Logo/https://www.edx.org/sites/default/files/school/image/logo/uc3mx_200x101.png,https://courses.edx.org/register?course_id=course-v1%3AUC3Mx%2BECO.1x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Are you interested in obtaining a solid background in economics?
This economics course offers a thorough view of markets, including their strengths and failures. You will learn how to view markets from an economist’s perspective to help you better understand the most relevant economic problems.
Why do most people in rich countries have a mortgage and why is it a problem that those in the developing world do not?
Why is the environment one of the most challenging problems of modern societies?
How could we estimate the economic impact of cannabis legalization?
Acerca de este curso

¿Por qué la gente de los países ricos tiene una hipoteca mientras que esto no ocurre en los países en desarrollo? ¿Es esto síntoma de un problema?
¿Por qué el medio ambiente es uno de los mayores problemas para las sociedades modernas?
¿Cómo podemos calcular el impacto económico de la legalización del cannabis?",4.5/5,2 Reviews,Ángel Hernando-Veciana,"Associate Professor in the Department of Economics
Universidad Carlos III de Madrid",None,FREE,7 weeks,2-3 hours per week,Economics & Finance,Introductory,"English, Español",English
Advanced Biobased Conversion,https://www.edx.org/course/advanced-biobased-conversion-wageningenx-bb04x,Images/https://www.edx.org/sites/default/files/course/image/promoted/bb04x_378x225.jpg,WageningenX,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/bb04x_318x210.jpg?itok=bMNW35WY,"Design new (bio)catalytic conversion routes to use biobased feedstocks to their highest potential as building blocks for chemicals, materials and fuels.",Logo/https://www.edx.org/sites/default/files/school/image/logo/wageningenx-logo12022015-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AWageningenX%2BBB04x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Biomass is the only renewable feedstock which contains the carbon atoms needed to make the molecules to create chemicals, materials and fuels. However, the majority of our current scientific and industrial knowledge on conversion is based on processing fossil feedstocks. In this course we explore the relevant fundamental knowledge on (bio)catalytic conversion in order to produce (new) biobased building blocks, chemicals and products.
microbial, biochemical and chemical (i.e., catalytic) conversion routes.
how to use catalysts, either heterogeneous, homogeneous or biocatalysts function in order to optimize the process of conversion. We discuss how these catalysts can be tuned and their specific advantages and disadvantages for biobased conversions.
the influence of the reactor choice as an inevitable asset in the process. We discuss how to describe the productivity of catalytic processes depending on the choice of the reactor and how the choice of the reactor can add to the stability of the conversion process.",0/5,0 Reviews,Harry Bitter,"Professor Biobased Chemistry and Technology
Wageningen University & Research",None,FREE,6 weeks,15 hours per week,Chemistry,Advanced,English,English
Mortgage Backed Securities: A Brief Introduction,https://www.edx.org/course/mortgage-backed-securities-brief-new-york-institute-finance-mbsx,Images/https://www.edx.org/sites/default/files/course/image/promoted/mbsx_378.jpg,New York Institute of Finance,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/mbsx_318.jpg?itok=5J5GaCAo,Learn about the different types of Mortgage Backed Securities (MBS) and factors that influence investment characteristics and techniques used to evaluate risk.,Logo/https://www.edx.org/sites/default/files/school/image/logo/nyif-200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ANYIF%2BMBSx%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This course begins with an introduction to Mortgage Backed Security (MBS) where we’ll look into the reasons for the rapid growth of the MBS market and the size of the MBS market.

You will learn to identify the U.S. mortgage agencies and distinguish among them regarding their legal status, nature of the guarantees they offer and types of mortgages they securitize. You'll also learn about the two major types of securities based on the securitization of mortgages and describe the type of structuring connected with each.

By the end of this course, you’ll also be able to describe the basic features of agency pass-through securities and collateralized mortgage obligations (CMOs) and how their structural differences impact cash flows received by investors.


This course is a teaser offering for New York Institute of Finance’s Mortgage Backed Securities Professional Certificate program. To learn more about the Professional Certificate program, click here.",0/5,0 Reviews,Douglas Carroll,"Instructor
New York Institute of Finance",None,FREE,1 week,1-2 hours per week,Economics & Finance,Introductory,English,English
Life with Diabetes,https://www.edx.org/course/life-diabetes-curtinx-diab1x,Images/https://www.edx.org/sites/default/files/course/image/promoted/diab1x-378225_0.jpg,CurtinX,Yes,,Yes,Missing,"Learn how to confidently manage your diabetes and live a healthy, happy life.",Logo/https://www.edx.org/sites/default/files/school/image/logo/curtin-university-200x101.png,https://courses.edx.org/register?course_id=course-v1%3ACurtinX%2BDIAB1x%2B2T2017&enrollment_action=enroll&email_opt_in=true,"This course focuses on providing skills and resources for you and your family to manage life with diabetes.

You will learn what diabetes is, the difference between type 1, type 2 and gestational diabetes as well as how they are treated and why management is so important. ",4/5,5 Reviews,Patricia Marshall,"Lecturer
Curtin University",None,FREE,5 weeks,3-4 hours per week,Medicine,Introductory,English,English
AP® Psychology - Course 1: What is Psychology?,https://www.edx.org/course/apr-psychology-course-1-what-psychology-ubcx-psyc-1x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/psyc.1x_thumbnail_378x225.jpg,UBCx,Yes,,Yes,Missing,Learn about the history and research methods of psychology.,Logo/https://www.edx.org/sites/default/files/school/image/logo/ubcx-200x101_0.jpg,https://courses.edx.org/register?course_id=course-v1%3AUBCx%2BPSYC.1x%2B2T2017&enrollment_action=enroll&email_opt_in=true,"This psychology course is an introduction to the field of psychology. It begins by asking “What is Psychology?” and provides some concrete answers to that question. Next, it covers the history of psychology and provides a look at the state of psychology today.
This course will provide you with research-based study tips — to help you in this course and in the future. You will learn the methods a psychologist uses in their research. From experimental design to coverage of some basic statistics — by the end of this course you will have a comprehensive appreciation for the methods of psychology.
AP® Psychology - Course 2: How the Brain Works
AP® Psychology - Course 3: How the Mind Works
AP® Psychology - Course 4: How Behavior Works
AP® Psychology - Course 5: Health and Behavior
AP® Psychology - Course 6: Exam Preparation & Review",4/5,3 Reviews,Steven J. Barnes,Missing,None,FREE,3 weeks,8-12 hours per week,Science,Introductory,English,English
First Nights - Beethoven's 9th,https://www.edx.org/course/first-nights-beethovens-9th-harvardx-mus24-3x,Images/https://www.edx.org/sites/default/files/course/image/promoted/beethoven_378x225.jpg,HarvardX,Yes,"Starts on November 21, 2017",Yes,Missing,Learn about Beethoven’s monumental 9th Symphony and forms of orchestral music.,Logo/https://www.edx.org/sites/default/files/school/image/banner/harvard_logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3AHarvardX%2BMUS24.3x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Ludwig van Beethoven’s 9th Symphony premiered in Vienna in 1824, and continues to be one of the most popular symphonies in the repertoire. The monumental symphony’s size and complexity stretches traditional instrumental forms to the breaking point, and its famous choral finale changed our view of orchestral music forever.

First Nights: Handel’s Messiah and Baroque Oratorio
edX honor code
research statement
harvardx@harvard.edureport your experience through the edX contact form",Missing,Missing,Thomas Forrest Kelly,"Morton B. Knafel Professor of Music
Harvard University",None,FREE,3 weeks,3-5 hours per week,Humanities,Introductory,English,English
CSS Basics,https://www.edx.org/course/css-basics-w3cx-css-0x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/css-basics_378x225.jpg,W3Cx,Yes,,Yes,Missing,Learn how to take your Web pages from bland to bold with the power of CSS styling.,Logo/https://www.edx.org/sites/default/files/school/image/logo/w3c-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AW3Cx%2BCSS.0x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This course is part of W3C's ""Front-End Web Developer"" Professional Certificate and Microsoft's Professional Program Certificate in Front-End Web Development.
Have you just begun your journey into Web development? This course will introduce you to the basics of Web design and teach you how to style your Web site for a professional look and feel.",4/5,11 Reviews,Kasey Champion,"Learning Team
Microsoft",None,FREE,5 weeks,5-7 hours per week,Computer Science,Introductory,English,English
Introduction to AP* Human Geography,https://www.edx.org/course/introduction-ap-human-geography-utaustinx-ut-hgeo-13-01x,Images/https://www.edx.org/sites/default/files/course/image/promoted/uthgeo_378x225.jpg,UTAustinX,Yes,,Yes,Missing,"Explore key issues in human geography, including population, migration, cultural patterns and more as you prepare for the AP exam.",Logo/https://www.edx.org/sites/default/files/school/image/logo/utaustinx-logo-200x101b.png,https://courses.edx.org/register?course_id=course-v1%3AUTAustinX%2BUT.HGEO.13.01x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Are you interested in what’s happening in your global community? Explore economic, social, political, and environmental issues through the lens of geography.
By exploring human influences and patterns, you can better understand the world around you, make predictions, and propose solutions to current issues. In this course, you will investigate geographic perspectives and analyze historical and current patterns of migration, population, political organization of space, agriculture, food production, land use, industrialization and economic development.
* Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings.",0/5,0 Reviews,Dana Browning,"Social Studies Learning Specialist
University of Texas High School",None,FREE,14 weeks,2-3 hours per week,Social Sciences,Introductory,English,English
Real-Time Bluetooth Networks - Shape the World,https://www.edx.org/course/real-time-bluetooth-networks-shape-world-utaustinx-ut-rtbn-12-01x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/ut.12.01x_banner_378x225.jpg,UTAustinX,Yes,,Yes,Missing,Learn the design fundamentals of a real-time operating system (RTOS) and how to build a Bluetooth network in this hands-on project-based course.,Logo/https://webview.edx.org/sites/default/files/school/image/logo/utaustinx-logo-200x101b.png,https://courses.edx.org/register?course_id=course-v1%3AUTAustinX%2BUT.RTBN.12.01x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"The increased demand by consumers and businesses for more utility, connectivity and smarter and more efficient electronic technology not only creates a need for more embedded systems but also for engineers in the embedded systems field.
In this lab-based computer science course, explore the complexities of embedded systems and learn how to develop your own real-time operating system (RTOS) by building a personal fitness device with Bluetooth connectivity (BLE). An operating system (OS) is a software system that computers use to manage the resources of a computer. The OS decides which tasks are performed when and decides how resources are utilized. Simple embedded systems, which are a combination of electrical, mechanical, chemical, and computer components designed to perform a dedicated function, originally did not need an OS. However, as embedded systems have evolved, so have their complexities. To manage this, an RTOS is now required.
RTOShands-on project-based lab course
purchase a lab kithttp://edx-org-utaustinx.s3.amazonaws.com/UT601x/RTOS.html ",4.5/5,4 Reviews,Jonathan Valvano,"Professor, Department of Electrical and Computer Engineering
UTAustinX",None,FREE,"6-7 weeks of content to be completed at student's own pace during 13 week window (Sept 15 - Dec 15, 2016)",10 hours per week,Computer Science,Intermediate,English,English
Introduction to Land Management,https://www.edx.org/course/introduction-land-management-tumx-ilmx,Images/https://www.edx.org/sites/default/files/course/image/promoted/ilmx_course_378x225.jpg,TUMx,Yes,,Yes,Missing,"Gain insights into the complex nature of land management and learn about terms, tasks and challenges related to our land.",Logo/https://www.edx.org/sites/default/files/school/image/banner/tum_logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ATUMx%2BILMx%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Have you ever asked yourself what role land plays in front of demographic change, globalization or climate change?
Did you ever consider the connectivity between poverty and land access or changing land values? If you want to delve more deeply into these complex and fascinating issues, take part in our MOOC course, “Introduction Land Management.”",3.5/5,1 Reviews,Walter Timo de Vries,"Professor and Head of the Chair of Land Management
Technical University of Munich",None,FREE,6 weeks,2-5 hours per week,Environmental Studies,Introductory,English,English
Introduction to Artificial Intelligence (AI),https://www.edx.org/course/introduction-artificial-intelligence-ai-microsoft-dat263x,Images/https://www.edx.org/sites/default/files/course/image/promoted/ai_378.jpg,Microsoft,Yes,,Yes,Missing,,Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDAT263x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Artificial Intelligence will define the next generation of software solutions. This computer science course provides an overview of AI, and explains how it can be used to build smart apps that help organizations be more efficient and enrich people’s lives. It uses a mix of engaging lectures and hands-on activities to help you take your first steps in the exciting field of AI.

Discover how machine learning can be used to build predictive models for AI. Learn how software can be used to process, analyze, and extract meaning from natural language; and to process images and video to understand the world the way we do. Find out how to build intelligent bots that enable conversational communication between humans and AI systems.

Note: The practical elements of this course are based on Microsoft Azure, and require an Azure subscription. Instructions for signing up for a free trial subscription are provided with the course materials, or you can use an existing Azure subscription if you have one.",4.5/5,2 Reviews,Graeme Malcolm,"Senior Content Developer
Microsoft Learning Experiences",None,FREE,4 weeks,3-4 hours per week,Computer Science,Introductory,English,English
"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",https://www.edx.org/course/visualizing-japan-1850s-1930s-harvardx-mitx-vjx-3,Images/https://www.edx.org/sites/default/files/course/image/promoted/visualizing-japan-banner-378x225.jpg,HarvardX,Yes,,Yes,Missing,"A MITx/HarvardX collaboration, this course explores Japan’s transition into the modern world through the historical visual record.",Logo/https://www.edx.org/sites/default/files/school/image/banner/harvard_logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3AMITx%2BVJx%2B2T2017&enrollment_action=enroll&email_opt_in=true,"This MITx course was developed in collaboration with HarvardX and is co-taught by MIT and Harvard historians. You will examine Japanese history in a new way—through the images created by those who were there—and the skills and questions involved in reading history through images in the digital format. The introductory module considers methodologies historians use to “visualize” the past, followed by three modules that explore the themes of Westernization, in Commodore Perry’s 1853-54 expedition to Japan; social protest, in Tokyo’s 1905 Hibiya Riot; and modernity, as seen in the archives of the major Japanese cosmetics company, Shiseido.
Module 0: Introduction: New Historical Sources for a Digital Age (Professors Dower, Gordon, Miyagawa). Digitization has dramatically altered historians' access to primary sources, making large databases of the visual record readily accessible. How is historical methodology changing in response to this seismic shift? How can scholars, students, and the general public make optimal use of these new digital resources?
Module 1: Black Ships & Samurai (Professor Dower). Commodore Matthew Perry's 1853-54 expedition to force Japan to open its doors to the outside world is an extraordinary moment to look at by examining and comparing the visual representations left to us by both the American and Japanese sides of this encounter. This module also addresses the rapid Westernization undertaken by Japan in the half century following the Perry mission.
Module 2: Social Protest in Imperial Japan: The Hibiya Riot of 1905 (Professor Gordon). The dramatic daily reports from participants in the massive ""Hibiya Riot"" in 1905, the first major social protest in the age of ""imperial democracy"" in Japan, offer a vivid and fresh perspective on the contentious domestic politics of an emerging imperial power.
Module 3: Modernity in Interwar Japan: Shiseido & Consumer Culture (Professors Dower, Gordon, Weisenfeld). Exploring the vast archives of the Shiseido cosmetics company opens a fascinating window on the emergence of consumer culture, modern roles for women, and global cosmopolitanism from the 'teens through the 1920s and even into the era of Japanese militarism and aggression in the 1930s. This module will also tap other Visualizing Cultures units on modernization and modernity.
visualizingcultures.mit.eduVJx and UTokyo001x: Visualizing Postwar Tokyo, by University of Tokyo
NOTES:
For MIT students: VJx will continue to be part of 21F.027J Visualizing Japan in the Modern World, a residential course taught by Professor Miyagawa in Fall semesters.
In addition to MITx and HarvardX, this project is supported by the U.S. Japan Foundation, the University of Tokyo, and the Reischauer Institute of Japanese Studies, Harvard University.
MITx requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. MITx will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the MITx course; revocation of any certificates received for the MITx course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations.
Learners who register for an MITx open online course agree to participate in research intended to improve MITx's offerings and to improve education generally. As a part of this research, learners may be experience variation in course material. MITx may share the information gathered during an MITx course, including personally identifiable information, with researchers both within and outside of MIT. All disclosures of information will be in compliance with applicable law and will be subject to an agreement to protect the data being disclosed. MITx may publicly share aggregated data that does not personally identify learners, and any research findings will also be presented in a way that does not identify individual learners. Please refer to the edX Privacy Policy for more information and/or report your experience through the edX contact form.",4.5/5,16 Reviews,John W. Dower,"Professor Emeritus
Massachusetts Institute of Technology",None,FREE,6 weeks,3-5 hours per week,Art & Culture,Introductory,English,English
Customer Relationship Management,https://www.edx.org/course/customer-relationship-management-iimbx-mk210x,Images/https://www.edx.org/sites/default/files/course/image/promoted/iimbx_mk210x_378x225.jpg,IIMBx,Yes,,Yes,Missing,Learn to develop customer relationships through a deepened understanding of the concepts and best practices of CRM.,Logo/https://www.edx.org/sites/default/files/school/image/logo/iimb-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AIIMBx%2BMK210x%2B2T2017&enrollment_action=enroll&email_opt_in=true,"Customer Relationship Management, also known as CRM, helps businesses successfully implement strategies, practices and technolgies aimed at winning and retaining customers profitably. The objective of this business and management course is to equip you with a sound foundation of CRM concepts and best practices so you can implement CRM practices successfully for long-term profitability.
Customer retention
Customer centricity
Customer lifetime value
Customer value management",4.5/5,14 Reviews,Shainesh G,"Professor, Marketing
IIM Bangalore",None,FREE,6 weeks,3-5 hours per week,Business & Management,Intermediate,"English, हिंदी",English
Enseñar STEM: mucho + que fórmulas,https://www.edx.org/course/ensenar-stem-mucho-que-formulas-javerianax-stemf001x,Images/https://www.edx.org/sites/default/files/course/image/promoted/imagen_mooc_stem_mas_que_formulas-378225.jpg,JaverianaX,Yes,,Yes,Missing,"En este MOOC el docente encuentra herramientas para diseñar y planear cursos STEM, centrados en los estudiantes.",Logo/https://www.edx.org/sites/default/files/school/image/logo/javerianax-logo12022015-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AJaverianaX%2BSTEMF001x%2B2T2017&enrollment_action=enroll&email_opt_in=true,"¿Eres nuevo enseñando STEM en la Universidad?, ¿Quieres que tus cursos estén centrados en los estudiantes? este MOOC es para ti.
Cuenta con cuatro unidades, el primer módulo plantea los principios básicos para comprender cómo funciona el aprendizaje. Luego se hace un recorrido por los elementos clave del diseño de cursos integrado, cómo evaluar de forma eficiente y finalmente estrategias de aprendizaje activo.",0/5,0 Reviews,James Lang,"Director del Centro de Excelencia en la Enseñanza
Assumption College",None,FREE,4 semanas,3-4 horas por semana,Social Sciences,Introductory,"English, Español",Español
"Introduction to Custody Servicing, Margins, and Accounting Records",https://www.edx.org/course/introduction-custody-servicing-margins-new-york-institute-finance-bopc-3x,Images/https://www.edx.org/sites/default/files/course/image/promoted/bopc.pc1_.3x.jpg,New York Institute of Finance,No,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/bopc.pc1_.3x.jpg?itok=jtq2tO7g,"Get introduced to Custody and Asset Servicing, Margins, Brokerage Accounting, Stock Records and General Ledger",Logo/https://www.edx.org/sites/default/files/school/image/logo/nyif-200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ANYIF%2BBOPC.3x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This course begins with an introduction to custody and asset servicing. Here, you'll learn to identify where securities are located for custody and asset servicing and recognize the process to transfer securities.
  Next, you’ll get introduced to Margins. Here you’ll learn the relevant regulations around the securities margining process and identify the difference between a cash account and a margin account. You’ll also learn the definition of a Special Memorandum Account and short sale and finally get introduced to the 3 types of calls a firm can issue.
  In the next section, you’ll get introduced to Cash and Brokerage Accounting where you will recognize the purpose for accounting and brokerage accounting and also identify the definition of the Profit and Loss statement.
  In the next section, you’ll get introduced to the Stock Record and learn about the two primary records kept in a brokerage firm and understand the layout and functioning of the stock record.
  Next, you’ll get introduced to General Ledger and the definition of the FOCUS report.
  We will wrap up this course with four optional online courses as additional resources, which will cover the following topics:
• The Cashier’s Department
• Current Trends in Brokerage Operations
• New Regulations in Brokerage Operations
• International Operations
  This course is part 3 of the New York Institute of Finance’s Brokerage Operations Professional Certificate program.",0/5,0 Reviews,Stephen Zak,"Instructor
New York Institute of Finance",None,Missing,10 weeks,1-2 hours per week,Economics & Finance,Introductory,English,English
Build Web APIs using ASP.NET,https://www.edx.org/course/build-web-apis-using-asp-net-microsoft-dev247x,Images/https://www.edx.org/sites/default/files/course/image/promoted/dev247x-378225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/dev247x-318210.jpg?itok=HK5ZXxN3,"Learn the skills needed to create RESTful services using Web API, REST, ASP.NET Core, and CORS.",Logo/https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEV247x%2B2T2017&enrollment_action=enroll&email_opt_in=true,Want to learn how to serve data to your client applications using Web API? Perhaps you are considering creating applications for mobile devices but your data needs will exceed the storage capacity of the device. Perhaps you want tighter control over the data and wish to provide options for devices with limited or not always-on connectivity.,0/5,0 Reviews,Gerry O'Brien,"Senior Content Development Manager
Microsoft",None,FREE,4 weeks,3-4 hours per week,Computer Science,Intermediate,English,English
Introduction to Computer Science and Programming Using Python,https://www.edx.org/course/introduction-computer-science-mitx-6-00-1x-11,Images/https://www.edx.org/sites/default/files/course/image/promoted/mitx_6.00.1.x_378x225.jpg,MITx,No,,Yes,Missing,A new and updated introduction to computer science as a tool to solve real-world analytical problems using Python 3.5.,Logo/https://webview.edx.org/sites/default/files/school/image/banner/mit_logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3AMITx%2B6.00.1x%2B2T2017_2&enrollment_action=enroll&email_opt_in=true,"This course is the first of a two-course sequence: Introduction to Computer Science and Programming Using Python, and Introduction to Computational Thinking and Data Science. Together, they are designed to help people with no prior exposure to computer science or programming learn to think computationally and write programs to tackle useful problems. Some of the people taking the two courses will use them as a stepping stone to more advanced computer science courses, but for many it will be their first and last computer science courses. This run features updated lecture videos, lecture exercises, and problem sets to use the new version of Python 3.5. Even if you took the course with Python 2.7, you will be able to easily transition to Python 3.5 in future courses, or enroll now to refresh your learning.",4.5/5,228 Reviews,John Guttag,"Dugald C. Jackson Professor of Computer Science and Electrical Engineering
MIT",None,FREE,9 weeks,15 hours per week,Computer Science,Introductory,English,English
Budgeting and Finance for Public Libraries,https://www.edx.org/course/budgeting-finance-public-libraries-michiganx-publib604,Images/https://www.edx.org/sites/default/files/course/image/promoted/rsz_604x_copy-378225.jpg,MichiganX,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/rsz_604x_copy-318210.jpg?itok=sj_QeSZs,Understand financial concepts as well as effective practices in budgeting and auditing for library managers at all levels.,Logo/https://www.edx.org/sites/default/files/school/image/logo/michiganx-logo12012015-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AMichiganX%2BPUBLIB604x%2B2T2017&enrollment_action=enroll&email_opt_in=true,"Money isn’t generally the first topic that comes to mind when thinking about libraries, however it is a critical resource that touches every aspect of the organization. Whether you are an aspiring manager or a library director, it is important that your organization’s finances are aligned with your service goals and priorities.",4.5/5,1 Reviews,Larry Neal,"Director
Clinton-Macomb Public Library",None,FREE,4 weeks,2-3 hours per week,Social Sciences,Introductory,English,English
