Course name,Course link,Cover image,Institution,Verified,Start date,Self Paced,Video link,Short description,Course provider image(LOGO),Enroll now link,About course,Overall rating,All reviews,Instructor name,instructor details,Instructor photo,Course price,length,Effort,Subject,Level,Video transcript,Languages
Cyber Security Economics,https://www.edx.org/course/cyber-security-economics-delftx-secon101x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/tbm_secon101x_course-image_378x225.jpg,DelftX,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/tbm_secon101x_course-image_318x210.jpg?itok=8LHwBBhP,"Learn how to make better decisions about security and IT by using state-of-the-art economic tools, security metrics and data analytics.",https://www.edx.org/sites/default/files/school/image/banner/delft_logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ADelftX%2BSecon101x%2B3T_2017&enrollment_action=enroll&email_opt_in=true,"This economics course provides an introduction to the field of cybersecurity through the lens of economic principles. Delivered by four leading research teams, it will provide you with the economic concepts, measurement approaches and data analytics to make better security and IT decisions, as well as understand the forces that shape the security decisions of other actors in the ecosystem of information goods and services.
Introduction to key concepts in security economics. Here, we provide an overview of how information security is shaped by economic mechanisms, such as misaligned incentives, information asymmetry, and externalities.
Measuring cybersecurity. We introduce state of the art security and IT metrics and conceptualize the characteristics of a security metric, its challenges and advantages.
Economics of information security investment. We discuss and apply different economic models that help determine the costs and benefits of security investments in network security.
Security market failures. We discuss market failures that may lead to cybersecurity investment levels that are insufficient from society’s perspective and other forms of unsafe behaviour in cyber space.
Behavioural economics for information security, policy and regulation. We discuss available economic tools to better align the incentives for cybersecurity, including better security metrics, cyber insurance/risk transfer, information sharing, and liability assignment.
LICENSE
The course materials of this course are Copyright Delft University of Technology and are licensed under a Creative Commons Attribution-NonCommercial-ShareAlike (CC-BY-NC-SA) 4.0 International License.",0/5,0 Reviews,Ross Anderson,"Professor of Security Engineering
Cambridge University",None,FREE,10 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Skype Operations Framework,https://www.edx.org/course/skype-operations-framework-microsoft-cld266x,Images/https://www.edx.org/sites/default/files/course/image/promoted/cld266x-378.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/cld266x-318.jpg?itok=H0I6ZwNN,Learn the methodology to effectively deploy and operate Skype for Business and related technologies.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BCLD266x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"The Skype Operations Framework (SOF) is a comprehensive guide and toolset for implementing and managing a reliable, cost-effective communications service based on Skype for Business. It covers the entire customer lifecycle, including planning, delivery, adoption, operations, and migrations.

In this course, you will learn the how to use SOF to prepare your deployment of Skype for Business. We will demonstrate how to use the worksheets and preparation materials, so you can maximize your Skype for Business deployment readiness.",0/5,0 Reviews,Brandon Neeb,"Content Developer
Microsoft",None,FREE,4 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Electrical and Electronic Engineering - 電気電子工学入門,https://www.edx.org/course/introduction-electrical-electronic-tokyotechx-ee101jx-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/course_378x225_0.jpg,TokyoTechX,Yes,,Yes,Missing,"Learn fundamental knowledge about electrical and electronic engineering from Tokyo Tech instructors and engineers working in Japanese industry.

電気電子工学を日本語と英語で学んでみませんか。講師と学生ティーチングアシスタント、そしてこの講座のために描きおこしたアニメキャラクタがあなたの電気電子工学の学習をガイドします。",https://www.edx.org/sites/default/files/school/image/tokyo-tech-200x101.png,https://courses.edx.org/register?course_id=course-v1%3ATokyoTechX%2BEE101Jx%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This course introduces fundamental topics in electrical and electronic engineering including a broad range of examples. Topics covered are solar cells (batteries) and portable cell phones, applications from Japanese companies, including the high speed railway, etc., plus advanced research being performed at high-tech laboratories in Japan.

By taking this course, you will gain knowledge about general aspects of electrical and electronic engineering from Tokyo Tech instructors and engineers working in Japanese industry. The topics covered flow from introductory materials, to fundamental research and their practical applications. The lecture videos in this course are spoken in Japanese with English transcripts and all materials (slides, quizzes and report) are provided in both Japanese and English. 
 ",Missing,Missing,Akira Chiba,"Professor
Tokyo Institute of Technology",None,FREE,4 weeks,2-3 hours per week,Electronics,Introductory,"English, 日本語","English, 日本語"
,,,,,,,,,,,,,,,,,,,,,,,
International Business Environment and Global Strategy,https://www.edx.org/course/international-business-environment-iimbx-im110x-1,Images/https://www.edx.org/sites/default/files/course/image/promoted/im110x-course_card-378x335.jpg,IIMBx,Yes,,Yes,Missing,"Learn how the social, political, economic and institutional factors affect international business environments and global strategies.",https://www.edx.org/sites/default/files/school/image/iimb-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AIIMBx%2BIM110x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This course focuses on the social, political, economic and institutional environment of countries. This environmental context molds the country’s objectives, defines the country’s strategy, programs and policies for achieving objectives, and significantly impacts companies.
The context is affected by historical events, and by the country’s leadership. Many stakeholders shape the environment and the institutions, or “rules of the game”, that affect business. Labor, students, farmers, non-governmental organizations (NGOs) and the military play a crucial role, making the analysis of country environments complex and fascinating.",4.5/5,38 Reviews,Dr Sushil Vachani,"Former Director
Indian Institute of Management, Bangalore",None,FREE,3 Weeks,5-6 hours per week,Business & Management,Introductory,"English, हिंदी",English
,,,,,,,,,,,,,,,,,,,,,,,
Architecting Distributed Cloud Applications,https://www.edx.org/course/architecting-distributed-cloud-microsoft-devops200-9x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/378_image.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/318_image.jpg?itok=HV9zkPv3,"This technology agnostic course will provide you with knowledge and skills for architecting distributed cloud applications, taking DevOps practices and principles into consideration.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BDEVOPS200.9x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"This technology-agnostic course begins by explaining the benefits of distributed cloud applications with an emphasis on maintaining high-availability and scalability in a cost-effective way while also dealing with inevitable hardware and software failures. 

The course also cover, Microservices and containers, Networking communication, Messaging communication, Versioning, upgrading and configuration, Data storage services and Disaster recovery.

This course is for anyone considering or actively working on a distributed cloud application. It is designed to provide you with a thorough understanding of these concepts, the various pros and cons of specific technologies, and the resilient patterns that are heavily used by distributed cloud applications. This knowledge will help you to easily build cost-efficient and fault-tolerant systems.

The course contains labs to practice your learning, review questions for self-assessment, and a final exam to validate learning. A score of 70% is required to pass the final exam and receive a certificate for the course.",Missing,Missing,Jeffrey Richter,"Partner Software Architect
Microsoft",None,FREE,4 weeks,2-4 hours per week,Computer Science,Advanced,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Introduction to User Experience,https://www.edx.org/course/introduction-user-experience-michiganx-ux501x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/ux_thumbnail_083116_1_378x225.jpg,MichiganX,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/ux_thumbnail_083116_1_318x210.jpg?itok=nd9U-BvU,Learn how UX research and design techniques can help you better understand user needs and create a great user experience.,https://www.edx.org/sites/default/files/school/image/michiganx-logo12012015-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AMichiganX%2BUX501x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"This UX course provides an introduction to the fields of UX research and design. Learners will gain an understanding of what is involved in UX research, including conducting interviews, evaluating systems, and analyzing systems using principles of good design. Learners will also learn about the work involved in UX Design, including the generation of promising design solutions and the creation of prototypes at multiple levels of fidelity. By interleaving successive phases of UX Research and Design, learners will see how to learn from inevitable mistakes and improve towards a product with a great UX.
User Experience (UX) Research and Design MicroMasters ProgramMichiganX",Missing,Missing,Mark W. Newman,"Associate Professor, School of Information
University of Michigan",None,FREE,5 weeks,2-4 hours per week,Design,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Psychologie de la négociation,https://www.edx.org/course/psychologie-de-la-negociation-louvainx-louv7x-3,Images/https://www.edx.org/sites/default/files/course/image/promoted/psychologie-de-la-negociation_378x225.jpg,LouvainX,Yes,,Yes,Missing,,https://www.edx.org/sites/default/files/school/image/banner/ucl-logo_200x101_0.png,https://courses.edx.org/register?course_id=course-v1%3ALouvainX%2BLouv7x%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Souvent confinée à l’étude des techniques permettant de vendre une encyclopédie en 24 volumes à une octogénaire récalcitrante ou à l’art de marchander son salaire, la négociation est souvent abordée sous un angle exclusivement utilitariste. Mais négocier ce n’est pas se limiter à la recherche du bénéfice maximum. La négociation traverse toutes les dimensions de la vie humaine. Nous négocions tous les jours, dans toutes les sphères de notre existence : au travail, avec la famille, les amis… Dès qu’il s’agit de partager des biens matériels mais aussi de résoudre une divergence d’intérêts, de concilier différentes envies, rêves, goûts, couleurs…
 
Ce cours s’éloigne de l’approche classique des négociations et tente de rendre compte des phénomènes psychologiques à la base du comportement. L’approche poursuivie sera descriptive plutôt que prescriptive. Contrairement aux théoriciens du jeu qui « examinent ce que de super-hommes, ultra-intelligents et impeccablement rationnels devraient faire dans les situations compétitives », nous explorerons la façon dont « des êtres imparfaits se comportent dans la réalité » (Raïffa, 1982, p. 21). Ainsi, les êtres humains poursuivent des motivations, ont des attentes, des préjugés, des biais et des émotions. Ils analysent l’information qui leur est soumise et prennent des décisions à travers le spectre de leurs propres limites cognitives. Leurs actions fluctuent en fonction de la situation ou de leur personnalité. Toutes ces variables influencent non seulement le comportement des personnes mais, plus fondamentalement, elles modifient la dynamique même de résolution des divergences. Ce cours mettra en évidence ces variables multiples et offrira aux étudiants une compréhension fine et détaillée des processus psychologiques qui entrent en jeu avant, pendant et après toute négociation.
  Ce cours sera enseigné en français.",05-May,17 Reviews,Stéphanie Demoulin,"Professeur à la faculté de psychologie
Université catholique de Louvain",None,FREE,8 semaines,4-6 heures par semaine,Social Sciences,Introductory,Français,Français
,,,,,,,,,,,,,,,,,,,,,,,
Web Security Fundamentals,https://www.edx.org/course/web-security-fundamentals-kuleuvenx-websecx,Images/https://www.edx.org/sites/default/files/course/image/promoted/web-security-fundamentals-kuleuvenx378225-.jpg,KULeuvenX,Yes,,Yes,Missing,"Essential knowledge for every web developer, discover important principles of modern web security, and learn about current security best practices.",https://www.edx.org/sites/default/files/school/image/kuleuvenx-logo-200x101.png,https://courses.edx.org/register?course_id=course-v1%3AKULeuvenX%2BWEBSECx%2B3T2017&enrollment_action=enroll&email_opt_in=true,"Web applications are inherently insecure, as aptly illustrated by a pile of recent events. Insecurity is however not fundamental to the web platform. As a matter of fact, the modern web offers a variety of powerful security features that help stop a hacker. Unfortunately, not many developers have the knowledge and skills to leverage these security features to their full potential.",0/5,0 Reviews,Philippe De Ryck,"Web Security Expert
imec-DistriNet, University of Leuven",None,FREE,5 weeks,4-6 hours per week,Computer Science,Introductory,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Professional Orientation: Cloud Administration,https://www.edx.org/course/microsoft-professional-orientation-cloud-microsoft-azure215x,Images/https://www.edx.org/sites/default/files/course/image/promoted/azure215x-378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/azure215x-318x210.jpg?itok=fnu0NuVH,"Learn what it takes to deploy and provision compute resources, scale workloads up or down on demand, and manage a cloud computing infrastructure in Microsoft Azure.",https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BAZURE215x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"This course is part of the Microsoft Professional Program in Cloud Administration.
This is the first stop in Microsoft’s Cloud Administration curriculum. It will help you get started, plan your learning schedule, and connect with fellow students and teaching assistants.

Along the way, you’ll be introduced to working with Azure cloud technologies. As you’re introduced to the different parts of the curriculum, you’ll get a feel for how Azure’s Infrastructure as a Service (IaaS) offering is organized into compute, networking, and storage pillars. And how Platform as a Service (PaaS) service capabilities can be built on top of the infrastructure.

Understanding these pillars is going to help you in basic deployment and management operations. In addition to being able to provision compute, networking, and storage resources, you’ll learn how to scale workloads efficiently and to automate application management tasks and other important administrative functions like security, back up, replication, and migration from an on-premises environment to the cloud.

While Azure as a cloud platform is large in scope, by the end of this course, you should have a good sense of how the individual courses in the curriculum map to the platform and fit within the Azure cloud administrator role.",0/5,0 Reviews,Cynthia Staley,"Senior Content Developer
Microsoft",None,FREE,4 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Azure Virtual Machines,https://www.edx.org/course/microsoft-azure-virtual-machines-microsoft-azure202x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/azure202_378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/azure202_318x210.jpg?itok=PMPUr4Uc,,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BAZURE202x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"This course is part of the Microsoft Professional Program in Cloud Administration.

This course focuses on using IaaS virtual machines in Azure for IaaS workloads, emphasizing basic configuration, planning, deployment and management tasks. You’ll be introduced to how to secure and make your virtual machines highly available and scalable.",Missing,Missing,Cynthia Staley,"Senior Content Developer
Microsoft",None,FREE,6 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Azure Virtual Networks,https://www.edx.org/course/microsoft-azure-virtual-networks-microsoft-azure203x,Images/https://www.edx.org/sites/default/files/course/image/promoted/azure203_copy378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/azure203_copy_318x210.jpg?itok=SYChBIWl,Take your existing knowledge of on-premises networking and extend it to the Microsoft Azure environment.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BAZURE203x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"This course is part of the Microsoft Professional Program in Cloud Administration.
In this course, you’ll be introduced to virtual network configuration through the Microsoft Azure Portal and network configuration files. You’ll also see how to use network services to configure and load balance network traffic using tools such as Azure DNS. Load Balancer, Azure Traffic Manager, and Application Gateway. And because this is about the cloud, you’ll see how to connect your on-premises computers to Azure virtual networks as well as establishing connectivity between sites.",0/5,0 Reviews,Cynthia Staley,"Senior Content Developer
Microsoft",None,FREE,6 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Azure App Service,https://www.edx.org/course/microsoft-azure-app-service-microsoft-azure206x,Images/https://www.edx.org/sites/default/files/course/image/promoted/azure206x-378x225.jpg,Microsoft,Yes,,Yes,https://webview.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/azure206x-318x210.jpg?itok=VooJj57x,Learn how to deploy web and mobile applications using Microsoft Azure App Services.,https://webview.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BAZURE206x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"This course is part of the Microsoft Professional Program in Cloud Administration.
This course focuses on Azure App Service as an application platform that you can use to deploy and manage Web, mobile and API applications.

You will learn how to host scalable e-commerce solutions and hyper-scale, customizable applications in Azure.",0/5,0 Reviews,Cynthia Staley,"Senior Content Developer
Microsoft",None,FREE,6 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Azure Security and Compliance,https://www.edx.org/course/azure-security-compliance-microsoft-azure208x,Images/https://www.edx.org/sites/default/files/course/image/promoted/azure208x-378x225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/azure208x-318x210.jpg?itok=wR9EVb-t,Want to learn how to address security and compliance concerns and build a trusted cloud platform? Check out this course on Microsoft Azure security and compliance.,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BAZURE208x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"This course is part of the Microsoft Professional Program in Cloud Administration. 
Security is a critical requirement for placing your software and services into the cloud. Microsoft Azure provides you with a secure infrastructure that is industry verified with global compliance standards.

You can use Azure to build and deploy infrastructure, applications, and services using tools and resources to ensure the security and compliance of your cloud solutions. Included in this course are discussions on the Microsoft Trust Center, Azure Key Vault, and Azure Security Center.",Missing,Missing,Cynthia Staley,"Senior Content Developer
Microsoft",None,FREE,4 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Azure Identity,https://www.edx.org/course/microsoft-azure-identity-microsoft-azure204x-0,Images/https://www.edx.org/sites/default/files/course/image/promoted/azure204_copy_378.225.jpg,Microsoft,Yes,,Yes,https://www.edx.org/sites/default/files/styles/course_video_banner/public/course/image/featured-card/azure204_copy_318x210.jpg?itok=wZnyEd7Q,,https://www.edx.org/sites/default/files/school/image/microsoft201x101.png,https://courses.edx.org/register?course_id=course-v1%3AMicrosoft%2BAZURE204x%2B4T2017&enrollment_action=enroll&email_opt_in=true,"This course is part of the Microsoft Professional Program in Cloud Administration.
This course focuses on important concepts such as what makes Azure AD different from on-premises AD, differences in managing users and groups and the implementing custom domains in Azure AD. You’ll be introduced to concepts like directories and tenants as well as Multi-Factor authentication which let you add a critical second security layer for verification of user sign-ins and transactions.

Whether workloads or applications are run on-premises or in the cloud, understanding how Azure AD can extend an on-premises environment will afford insight into AD hybrid environments and help you gain the skills to integrate and manage a cloud and on-premises solution.",0/5,0 Reviews,Cynthia Staley,"Senior Content Developer
Microsoft",None,FREE,6 weeks,2-4 hours per week,Computer Science,Intermediate,English,English
,,,,,,,,,,,,,,,,,,,,,,,
